id1,id2,type,confidence,method
street_11,street_12,Collinear Duplicate,0.95,Geometry
street_18,street_21,Collinear Duplicate,0.95,Geometry
street_22,street_36,Collinear Duplicate,0.95,Geometry
street_24,street_29,Collinear Duplicate,0.95,Geometry
street_24,street_27,Collinear Duplicate,0.95,Geometry
street_27,street_31,Collinear Duplicate,0.95,Geometry
street_30,street_43,Collinear Duplicate,0.95,Geometry
street_32,street_33,Collinear Duplicate,0.95,Geometry
street_32,street_34,Collinear Duplicate,0.95,Geometry
street_38,street_43,Collinear Duplicate,0.95,Geometry
street_42,street_47,Collinear Duplicate,0.95,Geometry
street_42,street_48,Collinear Duplicate,0.95,Geometry
